Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
Bidirectional LSTM,Relu,Adam,100,No,0.832,0.8319651562948094,3.13
Bidirectional LSTM,Relu,Adam,100,Yes,0.8368,0.8366066468416065,3.38
Bidirectional LSTM,Relu,SGD,25,No,0.5172,0.5136697089641592,2.64
Bidirectional LSTM,Relu,SGD,25,Yes,0.5032,0.4939498897935316,2.88
Bidirectional LSTM,Relu,SGD,50,No,0.4912,0.4855497725741731,2.71
Bidirectional LSTM,Relu,SGD,50,Yes,0.5168,0.5027660695468915,2.9
Bidirectional LSTM,Relu,SGD,100,No,0.5132,0.4905623003376772,2.77
Bidirectional LSTM,Relu,SGD,100,Yes,0.5148,0.5002201009250502,3.1
Bidirectional LSTM,Relu,RMSprop,25,No,0.7488,0.7485425075277083,2.84
Bidirectional LSTM,Relu,RMSprop,25,Yes,0.752,0.7516636930396621,3.16
Bidirectional LSTM,Relu,RMSprop,50,No,0.7824,0.7819141395967593,2.85
Bidirectional LSTM,Relu,RMSprop,50,Yes,0.786,0.7844054628028901,3.17
Bidirectional LSTM,Relu,RMSprop,100,No,0.8364,0.8361732900456968,2.98
Bidirectional LSTM,Relu,RMSprop,100,Yes,0.8332,0.833195489606039,3.33
Bidirectional LSTM,Tanh,Adam,25,No,0.7512,0.7509187972853832,2.98
Bidirectional LSTM,Tanh,Adam,25,Yes,0.7664,0.7663904313520682,3.17
Bidirectional LSTM,Tanh,Adam,50,No,0.776,0.7759826520965784,2.99
Bidirectional LSTM,Tanh,Adam,50,Yes,0.7988,0.7987883780167142,3.18
Bidirectional LSTM,Tanh,Adam,100,No,0.8328,0.8325426783813079,3.14
Bidirectional LSTM,Tanh,Adam,100,Yes,0.8336,0.8332772247070328,3.38
Bidirectional LSTM,Tanh,SGD,25,No,0.516,0.5141564374512952,2.62
Bidirectional LSTM,Tanh,SGD,25,Yes,0.5028,0.45877747977882943,2.88
Bidirectional LSTM,Tanh,SGD,50,No,0.5168,0.5115165631469979,2.68
Bidirectional LSTM,Tanh,SGD,50,Yes,0.5232,0.5207153885743695,2.93
Bidirectional LSTM,Tanh,SGD,100,No,0.5104,0.508583409775914,2.75
Bidirectional LSTM,Tanh,SGD,100,Yes,0.5116,0.5077533086960034,3.09
Bidirectional LSTM,Tanh,RMSprop,25,No,0.7616,0.7610120514083929,2.83
Bidirectional LSTM,Tanh,RMSprop,25,Yes,0.7576,0.7572712870677987,3.17
Bidirectional LSTM,Tanh,RMSprop,50,No,0.7888,0.7886046368612016,2.84
Bidirectional LSTM,Tanh,RMSprop,50,Yes,0.7924,0.7921597366555738,3.17
Bidirectional LSTM,Tanh,RMSprop,100,No,0.8284,0.8272835331234755,2.96
Bidirectional LSTM,Tanh,RMSprop,100,Yes,0.8312,0.8308482726642472,3.3
